         18900640 function calls (18699032 primitive calls) in 46.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   164762    0.065    0.000    0.065    0.000 {built-in method builtins.min}
    24998    0.064    0.000    1.634    0.000 arrayprint.py:754(__init__)
    74994    0.061    0.000    0.061    0.000 {built-in method numpy.core.multiarray.result_type}
   159555    0.060    0.000    0.060    0.000 {built-in method builtins.getattr}
        2    0.059    0.030    0.238    0.119 npyio.py:994(read_data)
    24998    0.059    0.000    2.908    0.000 arrayprint.py:415(wrapper)
    25110    0.054    0.000    6.531    0.000 function_base.py:5114(append)
    24998    0.054    0.000    0.054    0.000 arrayprint.py:310(_get_formatdict)
        2    0.053    0.027    0.053    0.027 {method 'at' of 'numpy.ufunc' objects}
    99992    0.053    0.000    0.310    0.000 arrayprint.py:837(<genexpr>)
    72354    0.053    0.000    2.286    0.000 parser.py:94(check_event)
    24998    0.051    0.000    0.113    0.000 arrayprint.py:67(_make_options_dict)
  20666/2    0.051    0.000    2.492    1.246 composer.py:63(compose_node)
    24998    0.051    0.000    0.051    0.000 util.py:388(<listcomp>)
    50111    0.051    0.000    0.051    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    75000    0.050    0.000    9.857    0.000 dynamical_matrix.py:200(run)
    75010    0.049    0.000    0.117    0.000 atoms.py:126(get_masses)
    24999    0.045    0.000    0.166    0.000 fromnumeric.py:2222(amax)
    19486    0.044    0.000    0.089    0.000 scanner.py:295(save_possible_simple_key)
    17614    0.044    0.000    0.500    0.000 parser.py:476(parse_flow_sequence_entry)
    75119    0.044    0.000    0.172    0.000 atoms.py:105(get_cell)
    75000    0.042    0.000    0.049    0.000 npyio.py:734(floatconv)
   250554    0.041    0.000    0.153    0.000 numpy_func.py:24(_is_quantity)
  5304/24    0.040    0.000    2.480    0.103 composer.py:99(compose_sequence_node)
    24998    0.040    0.000    1.674    0.000 arrayprint.py:319(<lambda>)
    753/1    0.040    0.000   46.491   46.491 {built-in method builtins.exec}
        1    0.040    0.040    3.200    3.200 util.py:138(<listcomp>)
    25154    0.038    0.000    0.038    0.000 {built-in method builtins.all}
50000/25000    0.038    0.000    0.041    0.000 npyio.py:966(pack_items)
    42442    0.038    0.000    0.112    0.000 scanner.py:135(get_token)
        1    0.038    0.038    0.195    0.195 qpoint_phonon_modes.py:168(calculate_structure_factor)
    75000    0.037    0.000    0.037    0.000 dynamical_matrix.py:177(dynamical_matrix)
       17    0.037    0.002    0.037    0.002 {built-in method numpy.core.multiarray.c_einsum}
    74994    0.037    0.000    0.037    0.000 {built-in method math.floor}
   100140    0.037    0.000    0.059    0.000 numeric.py:1506(<genexpr>)
    24999    0.035    0.000    0.035    0.000 {built-in method builtins.locals}
   102531    0.035    0.000    0.035    0.000 {method 'split' of 'str' objects}
    49998    0.033    0.000    0.033    0.000 {built-in method numpy.core.multiarray.empty_like}
    20666    0.033    0.000    0.080    0.000 constructor.py:67(construct_object)
    25112    0.033    0.000    0.164    0.000 fromnumeric.py:1427(ravel)
    24998    0.032    0.000    0.102    0.000 fromnumeric.py:2323(amin)
   129534    0.032    0.000    0.032    0.000 {method 'pop' of 'dict' objects}
    15082    0.031    0.000    0.088    0.000 composer.py:88(compose_scalar_node)
    36884    0.031    0.000    0.034    0.000 reader.py:94(prefix)
   150012    0.030    0.000    0.030    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    24998    0.029    0.000    3.160    0.000 arrayprint.py:1358(array_str)
    15062    0.028    0.000    0.066    0.000 scanner.py:1311(scan_plain_spaces)
    25000    0.027    0.000    0.088    0.000 band_structure.py:767(_set_initial_point)
    75005    0.027    0.000    0.027    0.000 {method 'upper' of 'str' objects}
    20666    0.027    0.000    0.049    0.000 resolver.py:143(resolve)
1221/1215    0.027    0.000    0.064    0.000 {built-in method builtins.__build_class__}
    25001    0.027    0.000    0.062    0.000 npyio.py:982(split_line)
    45186    0.025    0.000    0.048    0.000 scanner.py:1416(scan_line_break)
    49996    0.024    0.000    0.024    0.000 numeric.py:1378(<dictcomp>)
    17633    0.023    0.000    0.023    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     8806    0.023    0.000    0.068    0.000 scanner.py:470(fetch_flow_entry)
    82539    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
        1    0.023    0.023    1.265    1.265 force_constants.py:129(calculate_qpoint_phonon_modes)
    99992    0.022    0.000    0.030    0.000 arrayprint.py:838(<genexpr>)
    50108    0.022    0.000    0.022    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
       14    0.022    0.002    0.270    0.019 numpy_func.py:273(implementation)
    24998    0.021    0.000    0.863    0.000 arrayprint.py:639(_formatArray)
    24998    0.021    0.000    0.021    0.000 arrayprint.py:72(<dictcomp>)
    69873    0.020    0.000    0.020    0.000 {method 'pop' of 'list' objects}
     4789    0.020    0.000    0.254    0.000 {built-in method builtins.any}
     2545    0.020    0.000    0.043    0.000 registry.py:1030(_parse_unit_name)
      318    0.020    0.000    0.056    0.000 doccer.py:12(docformat)
   158013    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
    25000    0.019    0.000    0.068    0.000 npyio.py:1019(<listcomp>)
    99992    0.018    0.000    0.023    0.000 arrayprint.py:839(<genexpr>)
    13440    0.018    0.000    0.039    0.000 constructor.py:270(construct_yaml_float)
    36936    0.017    0.000    0.017    0.000 scanner.py:312(remove_possible_simple_key)
    15062    0.017    0.000    0.644    0.000 scanner.py:668(fetch_plain)
        1    0.016    0.016    0.028    0.028 force_constants.py:1073(_calculate_supercell_images)
    94/58    0.016    0.000    1.494    0.026 {built-in method _imp.exec_dynamic}
    25142    0.016    0.000    0.016    0.000 {method 'copy' of 'dict' objects}
     5266    0.015    0.000    0.044    0.000 scanner.py:484(fetch_block_entry)
    25033    0.015    0.000    0.015    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     5705    0.014    0.000    0.019    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     4096    0.014    0.000    0.034    0.000 util.py:324(__init__)
     1608    0.013    0.000    0.453    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    26290    0.012    0.000    0.047    0.000 scanner.py:125(peek_token)
     4404    0.012    0.000    0.034    0.000 scanner.py:453(fetch_flow_collection_end)
        1    0.012    0.012   16.844   16.844 util.py:114(get_qpoint_labels)
    18458    0.011    0.000    0.011    0.000 scanner.py:38(__init__)
     3996    0.011    0.000    0.031    0.000 tokenize.py:492(_tokenize)
    39060    0.011    0.000    0.013    0.000 scanner.py:325(unwind_indent)
    24999    0.011    0.000    0.122    0.000 _methods.py:25(_amax)
    15082    0.010    0.000    0.019    0.000 constructor.py:173(construct_scalar)
 4601/455    0.010    0.000    0.024    0.000 registry.py:727(_get_dimensionality_recurse)
     4404    0.010    0.000    0.052    0.000 scanner.py:430(fetch_flow_collection_start)
     7532    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
    27358    0.010    0.000    0.010    0.000 tokens.py:3(__init__)
    15082    0.010    0.000    0.010    0.000 events.py:65(__init__)
      316    0.010    0.000    0.011    0.000 sre_compile.py:250(_optimize_charset)
    14932    0.010    0.000    0.018    0.000 abc.py:180(__instancecheck__)
    15062    0.010    0.000    0.014    0.000 scanner.py:731(check_plain)
    90765    0.010    0.000    0.010    0.000 {method 'lower' of 'str' objects}
    15082    0.009    0.000    0.009    0.000 tokens.py:98(__init__)
        2    0.009    0.005    0.009    0.005 {built-in method numpy.core.multiarray.digitize}
