Euphonic version: 0+unknown
         1604072 function calls (1559110 primitive calls) in 2.781 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1906/620    0.003    0.000    0.032    0.000 pint_eval.py:67(evaluate)
    647/5    0.003    0.000    1.193    0.239 <frozen importlib._bootstrap>:966(_find_and_load)
     2462    0.003    0.000    0.027    0.000 util.py:532(__init__)
      604    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      620    0.003    0.000    0.029    0.000 util.py:762(string_preprocessor)
      487    0.003    0.000    0.005    0.000 definitions.py:44(from_string)
3116/1138    0.003    0.000    0.591    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
      392    0.003    0.000    0.095    0.000 definitions.py:236(from_string)
      672    0.003    0.000    0.004    0.000 inspect.py:2714(__init__)
     3014    0.003    0.000    0.006    0.000 __init__.py:894(__contains__)
      633    0.003    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       96    0.003    0.000    0.101    0.001 _distn_infrastructure.py:1487(__init__)
    15345    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1174    0.003    0.000    0.058    0.000 registry.py:1060(_dedup_candidates)
      620    0.003    0.000    0.006    0.000 tokenize.py:355(detect_encoding)
     5655    0.003    0.000    0.012    0.000 enum.py:265(__call__)
    604/5    0.003    0.000    1.191    0.238 <frozen importlib._bootstrap>:651(_load_unlocked)
     1827    0.003    0.000    0.023    0.000 util.py:536(from_word)
        1    0.003    0.003    0.157    0.157 castep.py:158(_read_interpolation_data)
  673/345    0.003    0.000    0.017    0.000 inspect.py:2176(_signature_from_callable)
     1000    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      620    0.003    0.000    0.010    0.000 tokenize.py:464(tokenize)
    645/5    0.003    0.000    1.193    0.239 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     1065    0.003    0.000    0.005    0.000 registry.py:476(_define_single_adder)
     7562    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    17080    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
        1    0.002    0.002    2.783    2.783 run_euphonic.py:1(<module>)
     2243    0.002    0.000    0.062    0.000 re.py:286(_compile)
    12334    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     4982    0.002    0.000    0.019    0.000 castep.py:362(record_mark_read)
     2276    0.002    0.000    0.010    0.000 util.py:656(__eq__)
     1000    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      928    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        5    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.fromfile}
       11    0.002    0.000    0.008    0.001 util.py:262(<dictcomp>)
     5977    0.002    0.000    0.005    0.000 sre_parse.py:253(get)
      400    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1248    0.002    0.000    0.015    0.000 util.py:557(eval_token)
 1256/509    0.002    0.000    0.003    0.000 sre_parse.py:173(getwidth)
     2491    0.002    0.000    0.064    0.000 castep.py:340(_read_entry)
     5549    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     7326    0.002    0.000    0.003    0.000 _collections_abc.py:719(__iter__)
       16    0.002    0.000    0.004    0.000 enum.py:124(__new__)
      109    0.002    0.000    0.030    0.000 _distn_infrastructure.py:626(_construct_argparser)
      599    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      334    0.002    0.000    0.022    0.000 _util.py:269(getargspec_no_self)
      604    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
      322    0.002    0.000    0.007    0.000 util.py:666(operate)
     6028    0.002    0.000    0.002    0.000 __init__.py:895(<genexpr>)
      642    0.002    0.000    0.003    0.000 util.py:969(__next__)
     5628    0.002    0.000    0.002    0.000 util.py:401(__len__)
       81    0.002    0.000    0.039    0.000 __init__.py:357(namedtuple)
     3230    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
     6695    0.002    0.000    0.002    0.000 util.py:780(_is_dim)
     1042    0.002    0.000    0.012    0.000 registry.py:343(UnitsContainer)
       83    0.002    0.000    0.011    0.000 typing.py:922(__new__)
1058/1016    0.002    0.000    0.002    0.000 typing.py:1164(__setattr__)
    12606    0.002    0.000    0.002    0.000 {method 'strip' of 'bytes' objects}
     5968    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1012    0.001    0.000    0.002    0.000 inspect.py:2435(__init__)
      499    0.001    0.000    0.007    0.000 registry.py:457(_define_adder)
     2127    0.001    0.000    0.003    0.000 _collections_abc.py:742(__iter__)
      912    0.001    0.000    0.002    0.000 sre_parse.py:963(expand_template)
      487    0.001    0.000    0.132    0.000 definitions.py:127(from_string)
  496/487    0.001    0.000    0.010    0.000 registry.py:371(_define)
    505/4    0.001    0.000    1.188    0.297 <frozen importlib._bootstrap_external>:672(exec_module)
      124    0.001    0.000    0.009    0.000 abc.py:132(__new__)
     1174    0.001    0.000    0.055    0.000 {built-in method fromkeys}
      109    0.001    0.000    0.070    0.001 _distn_infrastructure.py:706(_construct_doc)
     2765    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      732    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
  496/487    0.001    0.000    0.014    0.000 registry.py:2000(_define)
       11    0.001    0.000    0.002    0.000 util.py:251(<setcomp>)
      327    0.001    0.000    0.004    0.000 inspect.py:1780(_signature_bound_method)
     2012    0.001    0.000    0.013    0.000 tokenize.py:152(_compile)
   295/89    0.001    0.000    0.021    0.000 sre_parse.py:407(_parse_sub)
  604/601    0.001    0.000    0.146    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      438    0.001    0.000    0.001    0.000 function_base.py:2695(__init__)
       65    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      599    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      505    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      687    0.001    0.000    0.001    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
     1154    0.001    0.000    0.002    0.000 registry.py:838(<genexpr>)
     7312    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1174    0.001    0.000    0.059    0.000 registry.py:1007(parse_unit_name)
      4/1    0.001    0.000    0.183    0.183 registry.py:520(load_definitions)
     4379    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1906    0.001    0.000    0.001    0.000 pint_eval.py:49(__init__)
      334    0.001    0.000    0.002    0.000 inspect.py:485(unwrap)
     1492    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     1502    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      599    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      647    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     4347    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1865    0.001    0.000    0.001    0.000 _collections_abc.py:672(keys)
     1023    0.001    0.000    0.003    0.000 {method 'setdefault' of 'dict' objects}
      393    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.where}
     1010    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      877    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     1104    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
     1352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     4987    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
      647    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.001    0.001    0.003    0.003 registry.py:599(<dictcomp>)
      647    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2099    0.001    0.000    0.061    0.000 re.py:231(compile)
     3659    0.001    0.000    0.001    0.000 definitions.py:153(name)
      912    0.001    0.000    0.005    0.000 _collections_abc.py:496(__sub__)
      638    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      912    0.001    0.000    0.003    0.000 _collections_abc.py:712(_from_iterable)
  496/487    0.001    0.000    0.011    0.000 registry.py:1317(_define)
     1020    0.001    0.000    0.002    0.000 definitions.py:260(<genexpr>)
      316    0.001    0.000    0.015    0.000 sre_compile.py:223(_compile_charset)
     1923    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      389    0.001    0.000    0.003    0.000 fromnumeric.py:1778(sum)
      510    0.001    0.000    0.001    0.000 definitions.py:230(__init__)
  990/989    0.001    0.000    0.002    0.000 {built-in method builtins.next}
      399    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
     2287    0.001    0.000    0.002    0.000 _collections_abc.py:501(<genexpr>)
     1863    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      228    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     2065    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
      265    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
